Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
Byron Scott,Post,2,199697,8,15,33,34,51.5,106.3,2.0,0.3,4.4,0.6,106.5,15,67,61,51,71
Grant Long,Post,3,199697,5,8,18,16,44.4,91.7,-1.4,-0.3,-0.1,0.0,89.6,11,27,40,27,24
Grant Long,Post,3,199899,9,36,88,73,41.5,91.2,-7.0,-0.8,0.5,0.1,88.7,58,34,21,34,28
Grant Long,Post,3,200203,4,1,4,2,25.0,52.7,-1.8,-0.4,-1.3,-0.3,60.8,0,1,38,17,2
Dan Schayes,Post,7,199697,5,9,23,18,39.1,80.7,-4.3,-0.9,-2.6,-0.5,83.6,20,6,24,16,14
Dan Schayes,Post,7,199899,1,0,1,0,0.0,0.0,-0.9,-0.9,-0.8,-0.8,0.0,0,0,18,6,0
Sedale Threatt,Post,9,199697,16,22,56,53,47.3,97.6,-1.3,-0.1,2.8,0.2,97.1,9,44,46,36,42
Eric Piatkowski,Post,15,199697,3,4,11,10,45.5,93.8,-0.7,-0.2,0.1,0.0,95.5,11,34,41,31,40
Eric Piatkowski,Post,15,200304,1,0,1,0,0.0,0.0,-0.9,-0.9,-0.8,-0.8,0.0,0,0,21,8,0
Eric Piatkowski,Post,15,200405,4,6,19,17,44.7,91.8,-1.5,-0.4,0.6,0.2,85.4,13,30,41,27,16
Eric Piatkowski,Post,15,200506,3,3,6,8,66.7,133.9,2.0,0.7,3.2,1.1,130.8,0,99,73,36,100
Eric Piatkowski,Post,15,200607,1,1,1,2,100.0,206.8,1.0,1.0,1.1,1.1,169.0,0,100,74,61,100
Clyde Drexler,Post,17,199697,16,105,241,248,51.5,106.2,14.4,0.9,32.1,2.0,104.6,82,66,77,83,67
Clyde Drexler,Post,17,199798,5,21,68,47,34.6,71.8,-18.5,-3.7,-9.6,-1.9,67.3,79,5,1,1,4
Greg Anthony,Post,21,199798,9,12,40,29,36.3,75.3,-9.5,-1.1,-4.3,-0.5,69.7,12,9,16,10,6
Greg Anthony,Post,21,199899,13,18,55,44,40.0,88.0,-6.0,-0.5,-1.3,-0.1,81.5,13,23,41,27,15
Greg Anthony,Post,21,199900,13,19,52,48,46.2,98.4,-0.8,-0.1,7.3,0.6,92.7,10,50,51,32,37
Greg Anthony,Post,21,200001,2,2,6,5,41.7,90.3,-0.5,-0.3,0.2,0.1,88.9,4,27,37,21,27
Rik Smits,Post,22,199798,16,105,209,210,50.2,104.4,8.8,0.5,35.9,2.2,118.5,73,66,70,75,91
Rik Smits,Post,22,199899,13,67,147,134,45.6,100.2,0.3,0.0,12.9,1.0,113.2,73,55,55,60,89
Rik Smits,Post,22,199900,22,103,207,206,49.8,106.1,11.8,0.5,44.0,2.0,116.7,52,75,78,78,93
Dennis Rodman,Post,23,199697,19,30,81,64,39.5,81.5,-14.5,-0.8,-8.6,-0.5,77.3,18,7,26,19,5
Dennis Rodman,Post,23,199798,21,39,105,79,37.6,78.1,-22.1,-1.1,-8.4,-0.4,69.5,16,10,17,11,6
Luc Longley,Post,26,199697,19,57,104,114,54.8,113.1,13.2,0.7,20.8,1.1,110.7,21,84,74,64,81
Luc Longley,Post,26,199798,18,54,120,108,45.0,93.5,-7.5,-0.4,8.1,0.4,94.2,32,34,38,35,39
Luc Longley,Post,26,199899,3,2,12,4,16.7,36.7,-6.9,-2.3,-5.9,-2.0,41.3,12,0,4,2,0
Luc Longley,Post,26,199900,9,18,51,36,35.3,75.2,-11.9,-1.3,-3.9,-0.4,82.7,21,9,17,12,16
Doug West,Post,28,199697,3,12,22,24,54.6,112.6,2.7,0.9,4.3,1.4,119.3,33,83,77,76,91
Jim McIlvaine,Post,29,199697,4,4,7,8,57.1,117.9,1.2,0.3,1.7,0.4,103.4,0,90,62,48,63
Jim McIlvaine,Post,29,199798,6,6,20,12,30.0,62.3,-7.3,-1.2,-4.7,-0.8,64.6,4,1,13,7,3
Greg Graham,Post,37,199697,6,4,14,9,32.1,66.3,-4.6,-0.8,-3.5,-0.6,60.6,1,2,26,12,2
Brad Lohaus,Post,38,199798,1,0,1,0,0.0,0.0,-1.0,-1.0,-0.8,-0.8,0.0,0,0,19,7,0
Monty Williams,Post,42,199798,3,5,8,10,62.5,129.8,2.3,0.8,3.3,1.1,119.0,1,97,74,53,92
Monty Williams,Post,42,200001,2,3,4,6,75.0,162.5,2.3,1.2,2.8,1.4,129.6,1,100,84,58,98
Monty Williams,Post,42,200102,4,14,27,28,51.9,111.3,2.9,0.7,5.2,1.3,95.2,29,85,78,71,35
