Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
Eric Piatkowski,Pre,15,200506,4,6,15,15,50.0,106.5,0.9,0.2,3.5,0.9,98.7,1,60,56,35,43
Eric Piatkowski,Pre,15,200708,2,3,7,8,57.1,120.7,1.4,0.7,3.0,1.5,95.6,0,86,67,40,39
Gary Payton,Pre,56,200506,4,6,17,13,38.2,81.4,-3.0,-0.7,0.0,0.0,73.6,3,15,29,15,10
Gary Payton,Pre,56,200607,6,11,35,27,38.6,80.2,-6.7,-1.1,-1.6,-0.3,80.2,24,14,20,15,15
Doug Christie,Pre,57,200506,7,16,33,32,48.5,103.2,1.0,0.1,6.8,1.0,126.7,4,57,54,38,93
Carl Herrera,Pre,61,200809,1,4,10,10,50.0,104.3,0.4,0.4,1.9,1.9,105.9,80,59,63,68,65
Dikembe Mutombo,Pre,87,200506,4,4,18,8,22.2,47.3,-8.9,-2.2,-5.7,-1.4,44.0,4,0,5,2,0
Dikembe Mutombo,Pre,87,200607,4,4,6,8,66.7,138.7,2.2,0.6,3.1,0.8,109.1,0,99,70,43,70
Dikembe Mutombo,Pre,87,200708,3,2,4,4,50.0,105.6,0.2,0.1,1.2,0.4,85.9,0,59,54,13,21
Nick Van Exel,Pre,89,200506,5,9,19,24,63.2,134.5,6.2,1.2,9.5,1.9,136.9,1,97,81,63,98
Todd Day,Pre,103,200506,1,1,4,2,25.0,53.2,-1.8,-1.8,-1.1,-1.1,42.2,2,1,8,3,0
Robert Horry,Pre,109,200506,5,6,29,16,27.6,58.8,-11.2,-2.2,-6.1,-1.2,53.4,21,2,4,2,1
Robert Horry,Pre,109,200607,5,7,21,17,40.5,84.2,-3.2,-0.6,-0.1,0.0,93.8,3,20,33,22,38
Robert Horry,Pre,109,200708,1,0,3,0,0.0,0.0,-2.8,-2.8,-2.1,-2.1,0.0,0,0,2,0,0
