Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
Byron Scott,Reg,2,199697,76,163,379,399,52.6,106.8,25.3,0.3,53.1,0.7,106.1,39,83,78,68,82
Grant Long,Reg,3,199697,63,123,275,263,47.8,97.0,-8.1,-0.1,12.0,0.2,95.7,31,45,51,40,43
Grant Long,Reg,3,199798,34,50,117,100,42.7,89.4,-11.9,-0.3,0.1,0.0,88.1,18,21,35,21,20
Grant Long,Reg,3,199899,50,151,359,305,42.5,91.3,-29.2,-0.6,0.4,0.0,94.0,55,26,21,26,37
Grant Long,Reg,3,199900,40,74,167,148,44.3,92.7,-11.7,-0.3,0.2,0.0,92.1,24,32,39,32,31
Grant Long,Reg,3,200001,65,140,319,284,44.5,94.1,-17.7,-0.3,10.3,0.2,98.5,36,35,38,33,54
Grant Long,Reg,3,200102,65,164,385,331,43.0,90.1,-36.3,-0.6,-16.9,-0.3,97.9,48,25,25,23,55
Grant Long,Reg,3,200203,32,27,70,54,38.6,81.4,-12.3,-0.4,-6.0,-0.2,88.2,2,11,33,17,21
Dan Schayes,Reg,7,199697,33,47,120,94,39.2,79.5,-24.3,-0.7,-15.5,-0.5,80.5,21,8,16,9,9
Dan Schayes,Reg,7,199798,69,155,371,310,41.8,87.4,-44.7,-0.6,-6.9,-0.1,90.1,39,17,19,17,25
Dan Schayes,Reg,7,199899,15,11,29,22,37.9,81.5,-5.0,-0.3,-2.6,-0.2,88.9,1,8,36,15,19
Sedale Threatt,Reg,9,199697,20,28,74,64,43.2,87.7,-9.0,-0.4,-3.6,-0.2,90.2,21,18,29,21,26
Chris King,Reg,12,199899,4,2,7,4,28.6,61.4,-2.5,-0.6,-1.9,-0.5,79.5,0,1,20,6,8
Eric Piatkowski,Reg,15,199697,59,134,298,319,53.5,108.6,25.2,0.4,47.0,0.8,107.8,39,88,82,73,87
Eric Piatkowski,Reg,15,199798,66,257,568,620,54.6,114.2,76.9,1.2,134.8,2.0,105.9,66,94,97,92,81
Eric Piatkowski,Reg,15,199899,48,180,417,425,51.0,109.5,36.8,0.8,71.1,1.5,106.9,69,85,88,86,82
Eric Piatkowski,Reg,15,199900,75,238,573,569,49.7,103.8,21.0,0.3,61.8,0.8,98.9,62,71,71,72,57
Eric Piatkowski,Reg,15,200001,81,291,671,702,52.3,110.6,67.5,0.8,126.3,1.6,106.3,67,91,93,89,82
Eric Piatkowski,Reg,15,200102,71,207,471,525,55.7,116.8,75.5,1.1,99.3,1.4,110.8,54,98,95,92,94
Eric Piatkowski,Reg,15,200203,62,210,446,500,56.1,118.3,77.2,1.2,117.8,1.9,110.2,59,99,97,91,92
Eric Piatkowski,Reg,15,200304,46,72,191,187,49.0,103.9,7.0,0.2,16.6,0.4,96.1,25,74,66,59,42
Eric Piatkowski,Reg,15,200405,60,111,258,279,54.1,112.1,30.1,0.5,48.8,0.8,105.0,26,95,83,74,81
Eric Piatkowski,Reg,15,200506,19,24,61,57,46.7,95.3,-2.8,-0.1,0.4,0.0,91.4,17,42,49,40,31
Eric Piatkowski,Reg,15,200607,9,9,25,25,50.0,100.7,0.2,0.0,1.5,0.2,88.6,8,60,59,49,21
Eric Piatkowski,Reg,15,200708,12,12,33,35,53.0,106.6,2.2,0.2,4.3,0.4,97.6,9,81,71,56,50
Clyde Drexler,Reg,17,199697,62,397,899,913,50.8,103.0,26.6,0.4,92.4,1.5,100.9,92,70,82,90,62
Clyde Drexler,Reg,17,199798,70,452,1059,1010,47.7,99.7,-2.5,0.0,105.5,1.5,92.7,93,57,56,83,35
Greg Anthony,Reg,21,199697,64,199,507,486,47.9,97.2,-13.9,-0.2,23.2,0.4,94.9,64,45,43,51,41
Greg Anthony,Reg,21,199798,79,150,349,366,52.4,109.7,32.3,0.4,67.9,0.9,105.0,30,88,79,67,80
