Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,ShotSkill Percentile
Atlanta Hawks,Post,1610612737,199697,10,309,708,687,48.5,100.1,0.8,0.1,99.7,0,60,60,54
Atlanta Hawks,Post,1610612737,199798,4,131,292,289,49.5,102.8,7.9,2.0,103.5,34,80,80,96
Atlanta Hawks,Post,1610612737,199899,9,257,671,557,41.5,91.3,-53.3,-5.9,89.5,40,7,7,4
Atlanta Hawks,Post,1610612737,200708,7,205,499,438,43.9,90.7,-44.8,-6.4,90.9,0,7,7,20
Atlanta Hawks,Post,1610612737,200809,11,331,810,729,45.0,90.8,-74.2,-6.7,89.7,14,14,14,7
Atlanta Hawks,Post,1610612737,200910,11,372,876,794,45.3,91.4,-74.3,-6.8,92.8,87,7,7,12
Atlanta Hawks,Post,1610612737,201011,12,395,910,844,46.4,97.0,-26.4,-2.2,101.6,34,40,41,81
Atlanta Hawks,Post,1610612737,201112,6,191,476,417,43.8,92.1,-35.9,-6.0,90.6,62,14,14,7
Atlanta Hawks,Post,1610612737,201213,6,196,462,429,46.4,95.6,-19.9,-3.3,96.3,34,20,14,33
Atlanta Hawks,Post,1610612737,201314,7,212,551,503,45.6,90.4,-53.1,-7.6,88.2,41,7,7,2
Atlanta Hawks,Post,1610612737,201415,16,590,1369,1325,48.4,99.3,-9.6,-0.6,96.3,80,47,47,29
Atlanta Hawks,Post,1610612737,201516,10,366,848,838,49.4,99.9,-1.2,-0.1,97.1,74,54,54,43
Atlanta Hawks,Post,1610612737,201617,6,225,507,500,49.3,94.3,-30.3,-5.1,93.9,54,27,20,19
Boston Celtics,Post,1610612738,200102,16,525,1255,1176,46.9,100.6,7.0,0.4,95.9,36,67,67,18
Boston Celtics,Post,1610612738,200203,10,334,791,754,47.7,100.5,4.1,0.4,96.8,54,54,54,27
Boston Celtics,Post,1610612738,200304,4,115,282,251,44.5,98.1,-4.9,-1.2,95.5,0,34,34,20
Boston Celtics,Post,1610612738,200405,7,230,520,494,47.5,97.5,-12.6,-1.8,96.7,14,40,40,29
Boston Celtics,Post,1610612738,200708,26,873,1953,1903,48.7,100.7,13.3,0.5,101.4,28,67,67,65
Boston Celtics,Post,1610612738,200809,14,524,1177,1142,48.5,97.8,-25.2,-1.8,98.7,94,40,34,34
Boston Celtics,Post,1610612738,200910,24,823,1815,1785,49.2,99.2,-14.2,-0.6,99.1,21,54,54,53
