Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
Atlanta Hawks,Pre,1610612737,200506,3,97,206,205,49.8,106.0,11.5,3.8,47.8,15.9,103.3,0,90,90,87,79
Atlanta Hawks,Pre,1610612737,200607,7,243,540,524,48.5,100.9,4.8,0.7,83.4,11.9,101.1,49,56,56,56,58
Atlanta Hawks,Pre,1610612737,200708,8,277,617,578,46.8,98.9,-6.3,-0.8,139.4,17.4,100.7,27,50,54,44,61
Atlanta Hawks,Pre,1610612737,200809,8,275,592,600,50.7,105.7,32.2,4.0,118.3,14.8,109.9,4,80,76,76,100
Atlanta Hawks,Pre,1610612737,200910,7,255,534,541,50.7,104.2,21.9,3.1,121.2,17.3,104.3,31,73,73,73,80
Atlanta Hawks,Pre,1610612737,201011,7,219,521,477,45.8,95.2,-24.2,-3.5,116.3,16.6,95.9,17,20,24,10,30
Atlanta Hawks,Pre,1610612737,201112,2,64,160,131,40.9,88.5,-17.1,-8.5,17.5,8.8,84.4,100,100,100,100,100
Atlanta Hawks,Pre,1610612737,201213,7,243,589,543,46.1,96.5,-19.8,-2.8,110.1,15.7,97.6,87,25,25,32,35
Atlanta Hawks,Pre,1610612737,201314,7,224,533,492,46.2,97.4,-13.1,-1.9,48.6,6.9,97.3,18,37,40,31,44
Atlanta Hawks,Pre,1610612737,201415,7,247,554,560,50.5,103.4,18.2,2.6,85.1,12.2,101.1,49,75,78,78,62
Atlanta Hawks,Pre,1610612737,201516,7,226,548,511,46.6,97.4,-13.8,-2.0,103.5,14.8,96.0,7,21,21,21,22
Atlanta Hawks,Pre,1610612737,201617,7,261,593,572,48.2,97.8,-12.9,-1.8,76.6,10.9,99.8,63,32,32,35,47
Atlanta Hawks,Pre,1610612737,201718,5,167,410,385,47.0,92.5,-31.0,-6.2,59.1,11.8,90.2,17,7,10,4,6
Atlanta Hawks,Pre,1610612737,201819,5,206,445,475,53.4,106.5,28.8,5.8,224.3,44.9,107.0,52,73,73,83,81
Boston Celtics,Pre,1610612738,200506,8,266,568,560,49.3,105.0,26.6,3.3,126.4,15.8,102.2,14,87,87,83,69
Boston Celtics,Pre,1610612738,200607,8,287,626,610,48.7,101.3,8.0,1.0,99.2,12.4,100.2,59,59,59,59,53
Boston Celtics,Pre,1610612738,200708,7,199,465,431,46.3,97.9,-9.4,-1.3,100.4,14.3,94.4,4,40,44,20,23
Boston Celtics,Pre,1610612738,200809,8,266,581,581,50.0,104.3,23.7,3.0,108.2,13.5,102.1,1,73,73,73,61
Boston Celtics,Pre,1610612738,200910,8,283,606,617,50.9,104.7,27.9,3.5,140.6,17.6,105.8,21,76,80,80,87
Boston Celtics,Pre,1610612738,201011,8,277,562,599,53.3,110.8,58.3,7.3,209.9,26.2,106.6,7,97,97,90,93
Boston Celtics,Pre,1610612738,201112,2,55,140,115,41.1,88.8,-14.6,-7.3,15.7,7.8,91.0,100,100,100,100,100
Boston Celtics,Pre,1610612738,201213,8,282,594,617,51.9,108.7,49.4,6.2,180.5,22.6,107.3,7,97,87,83,94
Boston Celtics,Pre,1610612738,201314,8,276,654,606,46.3,97.8,-13.7,-1.7,62.0,7.7,95.7,65,44,44,44,25
Boston Celtics,Pre,1610612738,201415,8,278,652,638,48.9,100.1,0.4,0.0,79.2,9.9,98.8,68,59,59,52,34
Boston Celtics,Pre,1610612738,201516,7,274,616,608,49.4,103.1,18.1,2.6,149.9,21.4,99.4,90,76,80,87,45
