Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,ShotSkill Percentile
Atlanta Hawks,Reg,1610612737,199697,82,2812,6307,6283,49.8,101.0,64.3,0.8,99.9,26,61,61,42
Atlanta Hawks,Reg,1610612737,199798,82,2887,6352,6111,48.1,100.6,36.8,0.4,100.9,21,61,61,61
Atlanta Hawks,Reg,1610612737,199899,50,1539,3759,3275,43.6,93.6,-224.8,-4.5,94.0,22,11,15,8
Atlanta Hawks,Reg,1610612737,199900,82,3000,6807,6258,46.0,96.1,-251.9,-3.1,99.4,58,15,15,45
Atlanta Hawks,Reg,1610612737,200001,82,2876,6668,6085,45.6,96.5,-220.0,-2.7,98.4,62,15,15,30
Atlanta Hawks,Reg,1610612737,200102,82,2901,6610,6225,47.1,98.7,-82.0,-1.0,96.6,44,40,40,14
Atlanta Hawks,Reg,1610612737,200203,82,2859,6434,6120,47.6,100.4,21.9,0.3,101.8,15,61,61,72
Atlanta Hawks,Reg,1610612737,200304,82,2829,6529,6077,46.5,98.8,-74.4,-0.9,98.5,47,40,40,40
Atlanta Hawks,Reg,1610612737,200405,82,2942,6672,6188,46.4,96.1,-248.2,-3.0,95.7,69,11,11,6
Atlanta Hawks,Reg,1610612737,200506,82,2946,6496,6316,48.6,99.2,-50.7,-0.6,98.3,56,35,35,32
Atlanta Hawks,Reg,1610612737,200607,82,2831,6372,6003,47.1,94.9,-323.7,-3.9,94.9,18,0,0,0
Atlanta Hawks,Reg,1610612737,200708,82,2975,6552,6334,48.3,97.2,-183.5,-2.2,97.7,35,32,35,28
Atlanta Hawks,Reg,1610612737,200809,82,2954,6447,6503,50.4,100.9,58.0,0.7,100.8,18,73,66,63
Atlanta Hawks,Reg,1610612737,200910,82,3181,6799,6886,50.6,101.1,77.5,0.9,101.5,63,66,66,69
Atlanta Hawks,Reg,1610612737,201011,82,2971,6428,6444,50.1,100.6,37.3,0.5,103.7,18,63,63,83
Atlanta Hawks,Reg,1610612737,201112,66,2429,5348,5350,50.0,102.6,138.0,2.1,102.7,39,76,76,78
Atlanta Hawks,Reg,1610612737,201213,82,3084,6644,6874,51.7,104.2,277.7,3.4,102.7,32,83,83,76
Atlanta Hawks,Reg,1610612737,201314,82,3061,6687,6890,51.5,102.8,188.6,2.3,102.5,22,73,73,76
Atlanta Hawks,Reg,1610612737,201415,82,3121,6699,7060,52.7,106.3,415.3,5.1,104.7,11,94,94,90
Atlanta Hawks,Reg,1610612737,201516,82,3166,6920,7145,51.6,102.7,191.0,2.3,100.9,45,83,83,73
Atlanta Hawks,Reg,1610612737,201617,82,3122,6913,6972,50.4,98.2,-128.6,-1.6,96.9,28,38,38,21
Atlanta Hawks,Reg,1610612737,201718,82,3130,7017,7177,51.1,98.1,-136.1,-1.7,96.9,35,28,28,17
Atlanta Hawks,Reg,1610612737,201819,20,791,1785,1809,50.7,97.6,-45.0,-2.2,94.5,41,32,32,1
Boston Celtics,Reg,1610612738,199697,82,3066,6967,6599,47.4,96.1,-270.3,-3.3,94.5,97,18,15,9
Boston Celtics,Reg,1610612738,199798,82,3012,6934,6439,46.4,97.1,-191.4,-2.3,96.1,99,29,29,14
Boston Celtics,Reg,1610612738,199899,50,1816,4164,3905,46.9,100.7,28.3,0.6,99.2,89,54,54,36
Boston Celtics,Reg,1610612738,199900,82,3054,6880,6525,47.4,99.2,-55.0,-0.7,97.6,76,36,33,24
Boston Celtics,Reg,1610612738,200001,82,2773,6485,6138,47.3,100.1,5.2,0.1,96.1,32,54,54,11
Boston Celtics,Reg,1610612738,200102,82,2852,6731,6403,47.6,99.7,-20.2,-0.2,96.9,68,50,51,27
Boston Celtics,Reg,1610612738,200203,82,2700,6509,6119,47.0,99.2,-50.8,-0.6,95.6,29,36,36,12
