76ers,sixers
Blazers,trailblazers
Bucks,Bucks
Bulls,chicagobulls
Cavaliers,cavs
Celtics,celtics
Clippers,LAClippers
Grizzlies,memgrizz
Hawks,ATLHawks
Heat,MiamiHEAT
Hornets,hornets
Jazz,utahjazz
Kings,SacramentoKings
Knicks,nyknicks
Lakers,Lakers
Magic,OrlandoMagic
Mavericks,dallasmavs
NBA,NBA
Nets,BrooklynNets
Nuggets,nuggets
Pacers,Pacers
Pelicans,PelicansNBA
Pistons,DetroitPistons
Raptors,Raptors
Rockets,HoustonRockets
Spurs,spurs
Suns,Suns
Thunder,okcthunder
Timberwolves,Timberwolves
Warriors,warriors
Wizards,WashWizards
