_player_name,_player_id,_start_season,_end_season
Mahmoud Abdul-Rauf,51,1990,2001
Tariq Abdul-Wahad,1505,1997,2004
Shareef Abdur-Rahim,949,1996,2008
Alex Abrines,203518,2016,2017
Alex Acker,101165,2005,2009
Quincy Acy,203112,2012,2017
Hassan Adams,200801,2006,2009
Jordan Adams,203919,2014,2016
Steven Adams,203500,2013,2017
Rafael Addison,912,1986,1997
Jeff Adrien,202399,2010,2015
Arron Afflalo,201167,2007,2017
Maurice Ager,200772,2006,2011
Blake Ahearn,201336,2007,2012
Alexis Ajinca,201582,2008,2017
Josh Akognon,203006,2012,2013
Solomon Alabi,202374,2010,2012
Furkan Aldemir,203128,2014,2015
Cole Aldrich,202332,2010,2017
LaMarcus Aldridge,200746,2006,2017
Cliff Alexander,1626146,2015,2016
Cory Alexander,724,1995,2005
Courtney Alexander,2042,2000,2004
Joe Alexander,201570,2008,2010
Victor Alexander,2349,1991,2002
Jerome Allen,706,1995,1997
Lavoy Allen,202730,2011,2017
Malik Allen,2124,2001,2011
Ray Allen,951,1996,2014
Tony Allen,2754,2004,2017
Lance Allred,200984,2007,2008
Morris Almond,201165,2007,2012
Derrick Alston,308,1994,1997
Rafer Alston,1747,1999,2010
Peter Aluma,1824,1998,1999
John Amaechi,680,1995,2003
Ashraf Amaya,732,1995,1997
Al-Farouq Aminu,202329,2010,2017
Lou Amundson,200811,2006,2016
Chris Andersen,2365,2001,2017
David Andersen,2431,2009,2011
Alan Anderson,101187,2005,2017
Antonio Anderson,202079,2009,2010
Derek Anderson,1507,1997,2008
Greg Anderson,246,1987,1998
James Anderson,202341,2010,2016
Justin Anderson,1626147,2015,2017
Kenny Anderson,72,1991,2005
Kyle Anderson,203937,2014,2017
Nick Anderson,98,1989,2003
Ryan Anderson,201583,2008,2017
Shandon Anderson,1000,1996,2006
Willie Anderson,335,1988,1997
Martynas Andriuskevicius,101149,2005,2007
Chris Anstey,1512,1997,2000
Giannis Antetokounmpo,203507,2013,2017
Thanasis Antetokounmpo,203648,2015,2016
Carmelo Anthony,2546,2003,2017
Greg Anthony,21,1991,2002
Joel Anthony,201202,2007,2017
Pero Antic,203544,2013,2015
Keith Appling,203951,2015,2016
Rafael Araujo,2737,2004,2007
Robert Archibald,2425,2002,2004
Gilbert Arenas,2240,2001,2012
Trevor Ariza,2772,2004,2017
B.J. Armstrong,769,1989,2000
Brandon Armstrong,2220,2001,2004
Darrell Armstrong,353,1994,2008
Hilton Armstrong,200756,2006,2014
Carlos Arroyo,2306,2001,2011
Darrell Arthur,201589,2008,2017
Omer Asik,201600,2010,2017
Vincent Askew,355,1987,1998
Keith Askins,173,1990,1999
Chucky Atkins,1088,1999,2010
Stacey Augmon,278,1991,2006
D.J. Augustin,201571,2008,2017
James Augustine,200788,2006,2008
Ike Austin,1134,1991,2002
Anthony Avent,138,1992,2000
William Avery,1895,1999,2003
Gustavo Ayon,202970,2011,2014
Jeff Ayres,201965,2009,2016
Kelenna Azubuike,101235,2006,2012
Chris Babb,203569,2013,2015
Luke Babbitt,202337,2010,2017
Dalibor Bagaric,2053,2000,2003
Thurl Bailey,1847,1983,1999
Toby Bailey,1753,1998,2003
Cameron Bairstow,203946,2014,2016
Mark Baker,1858,1998,1999
Maurice Baker,2486,2002,2005
Ron Baker,1627758,2016,2017
Vin Baker,452,1993,2006
Wade Baldwin IV,1627735,2016,2017
Renaldo Balkman,200764,2006,2012
Marcus Banks,2556,2003,2011
Leandro Barbosa,2571,2003,2017
J.J. Barea,200826,2006,2017
Andrea Bargnani,200745,2006,2016
Charles Barkley,787,1984,2000
Erick Barkley,2057,2000,2003
Harrison Barnes,203084,2012,2017
Matt Barnes,2440,2002,2017
Andre Barrett,2857,2004,2008
Earl Barron,2853,2005,2015
Dana Barros,344,1989,2004
Brent Barry,699,1995,2009
Drew Barry,1003,1997,2000
Jon Barry,468,1992,2006
Will Barton,203115,2012,2017
Eddie Basden,101188,2005,2006
Brandon Bass,101138,2005,2017
Maceo Baston,1766,2002,2009
Mengke Bateer,2370,2001,2004
Esteban Batista,101212,2005,2007
Mike Batiste,2471,2002,2003
Tony Battie,1499,1997,2012
Shane Battier,2203,2001,2014
Nicolas Batum,201587,2008,2017
Lonny Baxter,2437,2002,2006
Jerryd Bayless,201573,2008,2017
Aron Baynes,203382,2012,2017
Kent Bazemore,203145,2012,2017
Bradley Beal,203078,2012,2017
Jerome Beasley,2602,2003,2004
Malik Beasley,1627736,2016,2017
Michael Beasley,201563,2008,2017
Rodrigue Beaubois,201958,2009,2013
Corey Beck,1133,1995,1999
Marco Belinelli,201158,2007,2017
Charlie Bell,2294,2001,2011
Raja Bell,1952,2000,2012
Troy Bell,2559,2003,2004
DeAndre' Bembry,1627761,2016,2017
Dragan Bender,1627733,2016,2017
Jonathan Bender,1886,1999,2010
Jerrelle Benimon,203968,2014,2015
Benoit Benjamin,104,1985,2000
Corey Benjamin,1736,1998,2003
Anthony Bennett,203461,2013,2017
Elmer Bennett,1120,1994,1997
Mario Bennett,712,1995,2003
David Benoit,128,1991,2001
Keith Benson,202728,2011,2012
Davis Bertans,202722,2016,2017
Travis Best,696,1995,2005
Patrick Beverley,201976,2012,2017
Sim Bhullar,204021,2014,2015
Mike Bibby,1710,1998,2012
Andris Biedrins,2740,2004,2014
Chauncey Billups,1497,1997,2014
Bismack Biyombo,202687,2011,2017
Nemanja Bjelica,202357,2015,2017
Tarik Black,204028,2014,2017
DeJuan Blair,201971,2009,2016
Steve Blake,2581,2003,2016
Marqus Blakely,202392,2010,2011
Will Blalock,200807,2006,2007
Andray Blatche,101154,2005,2014
Mookie Blaylock,302,1989,2002
Eric Bledsoe,202339,2010,2017
Corie Blount,916,1993,2004
Mark Blount,1548,2000,2009
Vander Blue,203505,2013,2015
Tony Bobbitt,2800,2004,2005
Keith Bogans,2586,2003,2014
Bojan Bogdanovic,202711,2014,2017
Muggsy Bogues,177,1987,2001
Andrew Bogut,101106,2005,2017
Etdrick Bohannon,1564,1997,2001
Joel Bolomboy,1627762,2016,2017
Dexter Boney,1121,1996,1997
Anthony Bonner,41,1990,2003
Matt Bonner,2588,2004,2016
Devin Booker,1626164,2015,2017
Melvin Booker,511,1995,1997
Trevor Booker,202344,2010,2017
Josh Boone,200767,2006,2010
Calvin Booth,1916,1999,2009
Keith Booth,1522,1997,1999
Carlos Boozer,2430,2002,2015
Curtis Borchardt,2414,2002,2005
Lazaro Borrell,1953,1999,2000
Chris Bosh,2547,2003,2017
Ruben Boumtje-Boumtje,2257,2001,2004
Cal Bowdler,1898,1999,2002
Bruce Bowen,1477,1996,2009
Ryan Bowen,1763,1999,2010
Anthony Bowie,194,1988,1998
Ira Bowman,1085,1999,2002
Donnie Boyce,671,1995,1997
Earl Boykins,1863,1998,2012
Cedric Bozeman,200841,2006,2007
Craig Brackins,202342,2010,2012
Avery Bradley,202340,2010,2017
Michael Bradley,2214,2001,2006
Shawn Bradley,762,1993,2005
Mark Bradtke,1361,1996,1997
Torraye Braggs,1765,2003,2005
A.J. Bramlett,1920,1999,2000
Elton Brand,1882,1999,2016
Terrell Brandon,210,1991,2003
Tim Breaux,160,1994,1998
J.R. Bremer,2452,2002,2004
Corey Brewer,201147,2007,2017
Jamison Brewer,2249,2001,2005
Ronnie Brewer,200758,2006,2014
Primoz Brezec,2056,2001,2010
Frank Brickowski,783,1984,1997
Jon Brockman,201972,2009,2012
Malcolm Brogdon,1627763,2016,2017
Aaron Brooks,201166,2007,2017
MarShon Brooks,202705,2011,2014
Scott Brooks,418,1988,1998
Andre Brown,2810,2006,2009
Anthony Brown,1626148,2015,2017
Bobby Brown,201628,2008,2017
Chucky Brown,359,1989,2002
Damone Brown,2245,2001,2005
Dee Brown,244,1990,2002
Dee Brown(2),200793,2006,2009
Derrick Brown,201974,2009,2012
Devin Brown,2484,2002,2010
Ernest Brown,2081,2001,2004
Gerald Brown,1871,1998,1999
Jabari Brown,203913,2014,2015
Jaylen Brown,1627759,2016,2017
Kedrick Brown,2208,2001,2005
Kwame Brown,2198,2001,2013
Lorenzo Brown,203485,2013,2016
Marcus Brown,992,1996,2000
Markel Brown,203900,2014,2016
Mike Brown,1479,1986,1998
P.J. Brown,136,1993,2008
Randy Brown,753,1991,2003
Shannon Brown,200769,2006,2015
Tierre Brown,2357,2001,2005
Rick Brunson,1594,1997,2006
Nicolas Brussino,1627852,2016,2017
Kobe Bryant,977,1996,2016
Mark Bryant,95,1988,2003
Greg Buckner,1761,1999,2009
